WTeam,LTeam,probability
Golden State Warriors,Los Angeles Clippers,0.5207601788909163
Charlotte Hornets,Minnesota Timberwolves,0.5195848440199329
Philadelphia 76ers,Orlando Magic,0.5134570372049875
New York Knicks,Portland Trail Blazers,0.5225517749019151
Boston Celtics,Sacramento Kings,0.5326531188204888
Houston Rockets,Atlanta Hawks,0.5092255274809944
Brooklyn Nets,Indiana Pacers,0.5022735197127493
Memphis Grizzlies,New Orleans Pelicans,0.5146259859470592
Miami Heat,Washington Wizards,0.5357431149955527
Milwaukee Bucks,Cleveland Cavaliers,0.5097633183622773
Chicago Bulls,Oklahoma City Thunder,0.5183794759494195
Los Angeles Lakers,San Antonio Spurs,0.5048035712233252
Phoenix Suns,Detroit Pistons,0.513645517757779
Golden State Warriors,Utah Jazz,0.5141237400354995
Los Angeles Clippers,Denver Nuggets,0.5141793288210611
Dallas Mavericks,Toronto Raptors,0.5193243632074374
Houston Rockets,Oklahoma City Thunder,0.5183412663067066
Los Angeles Lakers,San Antonio Spurs,0.5048035712233252
Phoenix Suns,Utah Jazz,0.5034259147358954
Brooklyn Nets,Portland Trail Blazers,0.5153850944115803
Minnesota Timberwolves,Golden State Warriors,0.503759717011103
Los Angeles Clippers,Indiana Pacers,0.5266756912157347
Miami Heat,Atlanta Hawks,0.5016228795298484
Boston Celtics,Washington Wizards,0.5251670546476623
Detroit Pistons,Cleveland Cavaliers,0.5025763545880954
New York Knicks,Memphis Grizzlies,0.5294457372998816
Philadelphia 76ers,Orlando Magic,0.5134570372049875
Milwaukee Bucks,Dallas Mavericks,0.5039110163815825
Philadelphia 76ers,Atlanta Hawks,0.5378775572259444
Washington Wizards,Minnesota Timberwolves,0.5114056105898414
Boston Celtics,Charlotte Hornets,0.5182166028336839
Brooklyn Nets,Orlando Magic,0.5250907913878416
Cleveland Cavaliers,Toronto Raptors,0.5134772648365058
New Orleans Pelicans,Oklahoma City Thunder,0.5179223273744086
Denver Nuggets,Houston Rockets,0.5209590211571444
Utah Jazz,Chicago Bulls,0.5030881952098419
Sacramento Kings,Phoenix Suns,0.5018686128727854
Los Angeles Lakers,Indiana Pacers,0.5363948184992019
Detroit Pistons,New York Knicks,0.5019586818537989
Dallas Mavericks,Golden State Warriors,0.5245879573985576
Portland Trail Blazers,Los Angeles Clippers,0.5159286031128898
Cleveland Cavaliers,Philadelphia 76ers,0.50524014755543
Orlando Magic,Atlanta Hawks,0.5070021438551178
Boston Celtics,Miami Heat,0.5060017734872014
Brooklyn Nets,Washington Wizards,0.5229078728490729
New York Knicks,Milwaukee Bucks,0.5213820204059628
Minnesota Timberwolves,Memphis Grizzlies,0.5147832998905181
New Orleans Pelicans,Toronto Raptors,0.5235263856515918
Oklahoma City Thunder,San Antonio Spurs,0.5098811640262829
Denver Nuggets,Houston Rockets,0.5209590211571444
Chicago Bulls,Phoenix Suns,0.5089832261614573
Utah Jazz,Los Angeles Clippers,0.5221285537213577
Sacramento Kings,Indiana Pacers,0.5106136572391998
Los Angeles Lakers,Portland Trail Blazers,0.5227099225799038
Dallas Mavericks,Detroit Pistons,0.5032770390677975
Charlotte Hornets,Washington Wizards,0.5214207881360251
Atlanta Hawks,Denver Nuggets,0.5112433592302457
Boston Celtics,Miami Heat,0.5060017734872014
Brooklyn Nets,Toronto Raptors,0.5339367415460985
Cleveland Cavaliers,Orlando Magic,0.5315209433423843
Milwaukee Bucks,Los Angeles Lakers,0.5090111094347926
Philadelphia 76ers,Memphis Grizzlies,0.5101561084830347
San Antonio Spurs,New Orleans Pelicans,0.5103182721530717
Phoenix Suns,Houston Rockets,0.5165313419876947
Utah Jazz,Indiana Pacers,0.5344584999238393
Golden State Warriors,Chicago Bulls,0.5017173303464086
New York Knicks,Dallas Mavericks,0.5105282200281781
Los Angeles Clippers,Sacramento Kings,0.527983316552978
Charlotte Hornets,Milwaukee Bucks,0.5127251732332314
Minnesota Timberwolves,Oklahoma City Thunder,0.5208480368477075
Toronto Raptors,Orlando Magic,0.5024252288181041
Golden State Warriors,Houston Rockets,0.5272119847991118
Utah Jazz,Portland Trail Blazers,0.5207675129093209
New Orleans Pelicans,Denver Nuggets,0.5061602424436428
San Antonio Spurs,Phoenix Suns,0.5071192326071852
Brooklyn Nets,Boston Celtics,0.512764155720252
Detroit Pistons,Memphis Grizzlies,0.5156678559398836
New York Knicks,Cleveland Cavaliers,0.5163773790731901
Chicago Bulls,Sacramento Kings,0.5207977166904604
Los Angeles Lakers,Washington Wizards,0.501223659090839
Portland Trail Blazers,Indiana Pacers,0.5282739916640822
Charlotte Hornets,Los Angeles Clippers,0.5152587501171327
Orlando Magic,Milwaukee Bucks,0.5019682144840482
Atlanta Hawks,Oklahoma City Thunder,0.5229984697320084
Boston Celtics,Toronto Raptors,0.5099184057152237
Philadelphia 76ers,Houston Rockets,0.5112344238122675
Miami Heat,Memphis Grizzlies,0.5052090974978976
Dallas Mavericks,Phoenix Suns,0.5336589940709618
Golden State Warriors,Indiana Pacers,0.5330938592550349
Cleveland Cavaliers,Los Angeles Lakers,0.5149001354557851
Miami Heat,Detroit Pistons,0.5331633262729585
Denver Nuggets,Dallas Mavericks,0.5011036690775506
Orlando Magic,Los Angeles Clippers,0.5045036707761339
Brooklyn Nets,Charlotte Hornets,0.5159548316363841
New York Knicks,Atlanta Hawks,0.5264048582614398
Los Angeles Lakers,Toronto Raptors,0.5142291613614397
Chicago Bulls,Washington Wizards,0.5427992290942046
Memphis Grizzlies,Oklahoma City Thunder,0.5194185370802529
Milwaukee Bucks,Sacramento Kings,0.5309540565788008
Minnesota Timberwolves,Indiana Pacers,0.5215951459518006
New Orleans Pelicans,Detroit Pistons,0.5098853026529571
Utah Jazz,Golden State Warriors,0.5166582414845338
Phoenix Suns,Boston Celtics,0.5060837168989868
Miami Heat,Los Angeles Clippers,0.5295991210865792
San Antonio Spurs,Houston Rockets,0.5099616126514072
Portland Trail Blazers,Denver Nuggets,0.5157810308942193
Charlotte Hornets,New York Knicks,0.5070979302384038
Indiana Pacers,Washington Wizards,0.5059571851877758
Orlando Magic,Toronto Raptors,0.521725600390707
Brooklyn Nets,Atlanta Hawks,0.5192428036130226
Cleveland Cavaliers,Sacramento Kings,0.5368193855625321
Philadelphia 76ers,Los Angeles Lakers,0.52712492793974
Memphis Grizzlies,Detroit Pistons,0.51138292376353
New Orleans Pelicans,Phoenix Suns,0.5099305302882448
Utah Jazz,Minnesota Timberwolves,0.5264496848009658
Dallas Mavericks,Milwaukee Bucks,0.5275229982643554
Miami Heat,San Antonio Spurs,0.5387712079526685
Brooklyn Nets,Indiana Pacers,0.5022735197127493
Washington Wizards,Los Angeles Clippers,0.5070757374425598
Cleveland Cavaliers,Oklahoma City Thunder,0.5347699440756646
Chicago Bulls,Dallas Mavericks,0.5233160211303152
Golden State Warriors,Boston Celtics,0.5167792441415591
Denver Nuggets,Utah Jazz,0.5078592613184127
Portland Trail Blazers,Minnesota Timberwolves,0.5202542849865965
New Orleans Pelicans,Phoenix Suns,0.5099305302882448
Detroit Pistons,Los Angeles Lakers,0.5018238949985774
New York Knicks,Sacramento Kings,0.5375415867518953
Orlando Magic,Toronto Raptors,0.521725600390707
Philadelphia 76ers,Charlotte Hornets,0.5346028014231766
Chicago Bulls,Atlanta Hawks,0.5076612086369656
Houston Rockets,Milwaukee Bucks,0.5041920993680591
Miami Heat,Indiana Pacers,0.5132257260387838
Washington Wizards,Brooklyn Nets,0.5050154572877265
Memphis Grizzlies,Atlanta Hawks,0.5103039249674051
Dallas Mavericks,Oklahoma City Thunder,0.5416116792997103
Cleveland Cavaliers,San Antonio Spurs,0.504051156062916
Portland Trail Blazers,Minnesota Timberwolves,0.5202542849865965
Los Angeles Clippers,Boston Celtics,0.5103428030499741
Philadelphia 76ers,Sacramento Kings,0.5489756530057527
Milwaukee Bucks,Golden State Warriors,0.5118311384418052
Houston Rockets,Phoenix Suns,0.5103498483370985
Utah Jazz,New Orleans Pelicans,0.5289342403011261
Los Angeles Lakers,Boston Celtics,0.5200917107946834
Charlotte Hornets,Detroit Pistons,0.5188328919588093
Golden State Warriors,Indiana Pacers,0.5056913145614991
Orlando Magic,Atlanta Hawks,0.5070021438551178
Chicago Bulls,New York Knicks,0.5285376729071904
Toronto Raptors,Sacramento Kings,0.5077479827586376
Miami Heat,Oklahoma City Thunder,0.512346327643677
San Antonio Spurs,Portland Trail Blazers,0.5021325887309808
Dallas Mavericks,Cleveland Cavaliers,0.5225237643151104
Denver Nuggets,Washington Wizards,0.520663174084299
Los Angeles Clippers,Minnesota Timberwolves,0.5186535707684431
Miami Heat,Houston Rockets,0.5062877638472115
Memphis Grizzlies,Milwaukee Bucks,0.5052708117082758
Utah Jazz,New Orleans Pelicans,0.5289342403011261
Los Angeles Clippers,Phoenix Suns,0.5179467008003165
Charlotte Hornets,Atlanta Hawks,0.5177548305446488
Detroit Pistons,Sacramento Kings,0.5237875393897339
Boston Celtics,Orlando Magic,0.5273489797122942
Cleveland Cavaliers,Indiana Pacers,0.5355147041389262
Philadelphia 76ers,Golden State Warriors,0.5299369962514686
Brooklyn Nets,Toronto Raptors,0.5079930364762885
Chicago Bulls,New York Knicks,0.5285376729071904
Oklahoma City Thunder,Minnesota Timberwolves,0.5049982361845784
Dallas Mavericks,Portland Trail Blazers,0.5286913113298854
Los Angeles Lakers,Denver Nuggets,0.5239231079256443
Los Angeles Clippers,Washington Wizards,0.5204897893786077
Miami Heat,San Antonio Spurs,0.5095185583801862
Cleveland Cavaliers,Dallas Mavericks,0.5098023033487892
Houston Rockets,Portland Trail Blazers,0.5053640090406133
Milwaukee Bucks,Utah Jazz,0.5106657157787342
Oklahoma City Thunder,Memphis Grizzlies,0.5062159154837984
Phoenix Suns,New Orleans Pelicans,0.5168877497404109
Boston Celtics,Orlando Magic,0.5273489797122942
New York Knicks,Indiana Pacers,0.5083772496456567
Detroit Pistons,Brooklyn Nets,0.5080624912385887
Golden State Warriors,Toronto Raptors,0.5114097613724166
Chicago Bulls,Minnesota Timberwolves,0.5098151256876224
Denver Nuggets,Charlotte Hornets,0.5137078421465887
Los Angeles Lakers,Washington Wizards,0.5302226389880506
Cleveland Cavaliers,Utah Jazz,0.5165537450581899
Philadelphia 76ers,Toronto Raptors,0.5524928086305756
Atlanta Hawks,Orlando Magic,0.5197410892628582
Houston Rockets,San Antonio Spurs,0.5159377920401554
Dallas Mavericks,Minnesota Timberwolves,0.5041623671029086
New Orleans Pelicans,Milwaukee Bucks,0.5037726353965457
Portland Trail Blazers,Oklahoma City Thunder,0.500696527236292
Phoenix Suns,Los Angeles Lakers,0.5017707122157604
Charlotte Hornets,Sacramento Kings,0.5025481710445574
Detroit Pistons,Utah Jazz,0.5034790956701629
Miami Heat,Chicago Bulls,0.5105774077775171
New York Knicks,Golden State Warriors,0.5184436554522514
Phoenix Suns,Washington Wizards,0.5162352996860761
Denver Nuggets,Memphis Grizzlies,0.5200429980805101
Cleveland Cavaliers,Milwaukee Bucks,0.5206570869930173
Philadelphia 76ers,Detroit Pistons,0.5389506918547627
Chicago Bulls,Atlanta Hawks,0.5076612086369656
Boston Celtics,Indiana Pacers,0.5313469472025213
Brooklyn Nets,Golden State Warriors,0.5112729834245646
New York Knicks,Toronto Raptors,0.5410733681290645
Houston Rockets,Orlando Magic,0.5150815701983135
Dallas Mavericks,Minnesota Timberwolves,0.5041623671029086
Portland Trail Blazers,Oklahoma City Thunder,0.500696527236292
Los Angeles Lakers,Sacramento Kings,0.5100534560544301
Los Angeles Clippers,Charlotte Hornets,0.5135342921971942
New Orleans Pelicans,San Antonio Spurs,0.5155187165484237
Utah Jazz,Washington Wizards,0.5282832119955706
Orlando Magic,San Antonio Spurs,0.5137157783792791
Philadelphia 76ers,Los Angeles Clippers,0.5353921681374635
Atlanta Hawks,Detroit Pistons,0.5149668190400835
Boston Celtics,Minnesota Timberwolves,0.5233323440322462
Brooklyn Nets,Milwaukee Bucks,0.5142141045312243
Cleveland Cavaliers,Toronto Raptors,0.5403519661641695
New York Knicks,Chicago Bulls,0.504875698406696
Dallas Mavericks,Houston Rockets,0.5066726987458936
Miami Heat,Indiana Pacers,0.5419054278727359
Oklahoma City Thunder,New Orleans Pelicans,0.5074900475755943
Denver Nuggets,Portland Trail Blazers,0.5131379557923413
Phoenix Suns,Memphis Grizzlies,0.5156147245152077
Sacramento Kings,Washington Wizards,0.5044153635295688
Los Angeles Lakers,Charlotte Hornets,0.5232790137766022
New York Knicks,Philadelphia 76ers,0.5059662732011504
Dallas Mavericks,Los Angeles Lakers,0.5217727666486097
Boston Celtics,Milwaukee Bucks,0.5164763869923384
Golden State Warriors,Memphis Grizzlies,0.5262970463326347
